kab/kota,kecamatan,kelurahan,tempat_ibadah,alamat,nama_pengurus,status_tanah,tahun_pendirian,bentuk_bangunan,sumber_biaya,peruntukkan_lahan,kepemilikkan,pemberi_Wakaf,daya_tampung,luas_bangunan,luas_tanah,kegiatan_lain
Jakarta Utara,Cilincing,Cilincing,Musholla Babus Salam,Jl. Cilingcing Rt. 001/06,Icang,Negara,1978,Permanen,,,,,,30,270,
Jakarta Utara,Cilincing,Cilincing,Musholla Jamiatul Ikhlas,Jl. Baru Gg IV Dalam No.20 Rt.006/02,Halimah,Negara,1981,Permanen,,,,,,40,40,
Jakarta Utara,Cilincing,Cilincing,Musholla Nur Baitur Rahmah,Jl. Gg.Usaha No.9 Rt. 010/04,Tojib,Negara,1973,Permanen,,,,,,40,325,
Jakarta Utara,Cilincing,Cilincing,Musholla Al-Muttaqin,Jl. Cilingcing Rt. 005/06,Ir. Yan. M,Negara,1980,Permanen,,,,,,42,30,
Jakarta Utara,Cilincing,Cilincing,Musholla Al-Mujahidin,Jl. Raya Cilingcing No.46 Rt. 002/03,Suparman,Negara,1965,Permanen,,,,,,49,100,
Jakarta Utara,Cilincing,Cilincing,Musholla Baitul Muslimin,Jl. Bhakti No.14 Rt. 007/06,Encep,Negara,1969,Permanen,,,,,,55,42,
Jakarta Utara,Cilincing,Cilincing,Musholla Al-Husna,Jl. Raya Cilincing No.30 Rt.002/08,Nurhasan B Y Deing,Negara,1990,Permanen,,,,,,56,130,
Jakarta Utara,Cilincing,Cilincing,Musholla As Sadikin,Jl. Cilingcing Rt. 001/03,Husin,Negara,1990,Permanen,,,,,,70,70,
Jakarta Utara,Cilincing,Cilincing,Musholla Nurul Fatahillah,Jl. Cilingcing Rt. 010/08,,Negara,1978,Permanen,,,,,,70,56,
Jakarta Utara,Cilincing,Cilincing,Musholla At-Taubah,Jl. Raya Cilincing No.88 Rt. 008/04,Daman Huri,Negara,1974,Permanen,,,,,,70,100,
Jakarta Utara,Cilincing,Cilincing,Musholla Attholibin,Jl. Cilingcing Rt. 009/02,Akhiyas,Negara,1970,Permanen,,,,,,70,70,
Jakarta Utara,Cilincing,Cilincing,Musholla Jamiatul Khair,Jl. Rekreasi Gg Amd Rt.008/04,M. Sanudi,Negara,1990,Permanen,,,,,,77,414,
Jakarta Utara,Cilincing,Cilincing,Musholla Al-Mukhlisin,Jl. Cilingcing Rt. 008/08,Namin,Negara,1975,Permanen,,,,,,80,56,
Jakarta Utara,Cilincing,Cilincing,Masjid Al-Munawaroh,Jl. Bulak Cabe No. 20 Rt. 004/09,Caswin,Negara,1982,Permanen,,,,,,95,200,
Jakarta Utara,Cilincing,Cilincing,Musholla As-Sobar,Jl. Kelapa Dua No. 14 Rt. 005/03,Djunaedi,Negara,1969,Permanen,,,,,,96,300,
Jakarta Utara,Cilincing,Cilincing,Musholla Nurul Amal,Jl. Cilingcing Rt. 015/03,Said,Negara,1962,Permanen,,,,,,102,90,
Jakarta Utara,Cilincing,Cilincing,Musholla Babus Salam,Jl. Cilingcing Rt. 003/02,Rochman,Negara,1976,Permanen,,,,,,132,270,
Jakarta Utara,Cilincing,Cilincing,Musholla Jamiatul Thoyibah,Jl. Raya Cilingcing Rt. 001/04,Wartam,Negara,1989,Permanen,,,,,,150,120,
Jakarta Utara,Cilincing,Cilincing,Masjid Adzzuhud,Jl. Bhakti VII Rt. 005/06,Moh. Barja,Negara,1985,Permanen,,,,,,150,203,
Jakarta Utara,Cilincing,Cilincing,Gereja GBIB Semani,Jl. Kesatrian No. 57,Hadi Sutrisno,,,,Swadaya Masa,,,,,150,250,
Jakarta Utara,Cilincing,Cilincing,Masjid Miftahul Hasanah,Jl. Cilingcing Rt. 007/03,,Negara,1978,Permanen,,,,,,196,717,
Jakarta Utara,Cilincing,Cilincing,Masjid Rumah Susun,Jl. Rumah Susun Rt. 001/10,M. Djunaedi Japi,Negara,1997,Permanen,,,,,,200,6854,
Jakarta Utara,Cilincing,Cilincing,Masjid Raharusun Raya,Jl. Komp. Porli Rt. 005/07,,Negara,1966,Permanen,,,,,,200,250,
Jakarta Utara,Cilincing,Cilincing,Masjid Al-Barkah,Jl. Baru Gg III Dalam Rt. 005/02,Zainal Aripin,Negara,1983,Permanen,,,,,,250,610,
Jakarta Utara,Cilincing,Cilincing,Masjid Nurul Hasanah,Jl. Pendongkelan Rt. 002/09,Edi Ro'i,Negara,1982,Permanen,,,,,,250,528,
Jakarta Utara,Cilincing,Cilincing,Masjid Al-Ikhlas,Jl. Cilingcing Rt. 010/01,,Negara,1976,Permanen,,,,,,250,268,
Jakarta Utara,Cilincing,Cilincing,Masjid Nurul Huda,Jl. Bhakti IV No. 29 Rt. 011/05,Ajan Sujana,Negara,1989,Permanen,,,,,,252,600,
Jakarta Utara,Cilincing,Cilincing,Masjid Baitul Huda,Jl. Sungai Landak No. 15 Rt. 011/08,Agus Salim,Negara,1976,Permanen,,,,,,400,1360,
Jakarta Utara,Cilincing,Cilincing,Masjid Al-Alam ,Jl. Cilingcing Rt. 005/04,Iskandarsr,Negara,1951,Permanen,,,,,,400,900,
Jakarta Utara,Cilincing,Cilincing,Pure Sagara,Rt. 007/04,,,1992,,,,,,,,600,
Jakarta Utara,Cilincing,Cilincing,Vihara Lall  Laris Tara,Rt. 005/04,B. Andha Vira,,1980,,,,,,,,5442,
Jakarta Utara,Cilincing,Cilincing,Gereja Kristen Jawa,Jl. Raya Cilincing,Pdt. Andreas U.W.S Th,,1992,,Swadaya Masa,,,,,,1200,
Jakarta Utara,Cilincing,Cilincing,Gereja P. Kosta Indonesia,Rt.014/01,Pdt. F. Tubelaka,,1991,,Swadaya Masa,,,,600,,244,
Jakarta Utara,Cilincing,Cilincing,Gereja Filipi,Jl. Kesatrian,Fastur Yakub,,1990,,Swadaya Masa,,,,500,,330,
Jakarta Utara,Cilincing,Cilincing,Gereja P. Kosta Indonesia,Jl. Raya Cilincing,R. Simbolon,,1990,,Swadaya Masa,,,,70,,280,
Jakarta Utara,Cilincing,Cilincing,Gereja Bethel Injil Sepenuh (GBIS),Jl. Kasatria Rt. 014/05,Pdt. Christian,,1971,,Swadaya Masa,,,,200,,500,
Jakarta Utara,Cilincing,Cilincing,Musholla Al Fatahillah,Jl. Sungai Landak No.14 Rt. 010/08,Ade Supriatyna,,,,,,,,,,,
Jakarta Utara,Cilincing,Cilincing,Musholla Al Hidayah,Jl. Bulak Cabe Rt.005/10,Ali Musa,,,,,,,,,,,
Jakarta Utara,Cilincing,Cilincing,Musholla Al Ikhlas,Komp.Pelindo II D4 Rt.011/09,Alpian S.Ag,,,,,,,,,,,
Jakarta Utara,Cilincing,Cilincing,Masjid Babussalam,Jl. Bhakti IX No. 37 Rt. 001/06,Bawon,,,,,,,,,,,
Jakarta Utara,Cilincing,Cilincing,Musholla Jami  Al Ikhlas,Jl. Baru Gg.3 No. 36 B Rt. 007/01,Dayat,,,,,,,,,,,
Jakarta Utara,Cilincing,Cilincing,Masjid Nurdarozzatun,Rusun Cilincing No.14 Rt. 001/10,Dulfani,,,,,,,,,,,
Jakarta Utara,Cilincing,Cilincing,Musholla MDT Al Ihsaniyah,Jl. Baru Gg.3 B Rt. 008/01,Hj. Nur Aidah Sag,,,,,,,,,,,
Jakarta Utara,Cilincing,Cilincing,Gereja GBI,Cilincing Plaza Blok D1 No. 6,Isang Typutra,,,,,,,,,,,
Jakarta Utara,Cilincing,Cilincing,Mushulla At Taubah,Jl. Raya Cilincing No. 38 Rt. 014/02,Lili Hariroh,,,,,,,,,,,
Jakarta Utara,Cilincing,Cilincing,Musholla Nurul Fajar,Jl. Psr Pagi II No. 14 Rt.003/06,Much Maizul Fahmi,,,,,,,,,,,
Jakarta Utara,Cilincing,Cilincing,Masjid Darussaadah,Jl. Cilincing Lama I Rt. 010/04,Musail K,,,,,,,,,,,
Jakarta Utara,Cilincing,Cilincing,Gereja GPDI Rehobot,Jl. Raya Cilincing No.20,Odibala,,,,,,,,70,,,
Jakarta Utara,Cilincing,Cilincing,Gereja GBI Maranata,Cilincing Plaza Blok S No. 6-7,Pdt. Pangabean,,,,,,,,200,,,
Jakarta Utara,Cilincing,Cilincing,Gereja GEPKIN(Pantekosta Kudua),Jl. Cakung Drain Rt.008/09 No.60,Pdt. Rudi Siregar,,,,,,,,80,,,
Jakarta Utara,Cilincing,Cilincing,Musholla Al Barokah,Jl.Rekreasi No.23 Rt.007/04,Rohmat Sanusi,,,,,,,,,,,
Jakarta Utara,Cilincing,Cilincing,Musholla Al Hidayah,Jl. Bulak Cabe No.73 Rt.005/10,Samah,,,,,,,,,,,
Jakarta Utara,Cilincing,Cilincing,Musholla MI Al Husna,Jl. Baru Gg IV Dalam No.31 Rt.015/02,Sariani,,,,,,,,,,,
Jakarta Utara,Cilincing,Cilincing,Musholla Al Mustakim,Jl. Bhakti No. 24 Rt.009/06,Sukri,,,,,,,,,,,
Jakarta Utara,Cilincing,Cilincing,Musholla Nurul Ikhlas,Jl. Rawa Malang Rt.010/09,Suwarna,,,,,,,,,,,
Jakarta Utara,Cilincing,Cilincing,Masjid Al Manar ,Jl. Kali Baru TMR Rt. 014/01,Syahrir,,,,,,,,,,,
Jakarta Utara,Cilincing,Cilincing,Musholla Al Fajar,Rt. 008/02,,,,,,,,,,,,
Jakarta Utara,Cilincing,Cilincing,Musholla Jamiatul Akbar,Rt. 001/05,,,,,,,,,,,,
Jakarta Utara,Cilincing,Cilincing,Gereja GISI,Cilincing Plaza Blok D No. 6,,,,,,,,,,,,
Jakarta Utara,Cilincing,Kali Baru,Musholla Tijaroh,Jl. Kali Baru Rt. 001/03,H. Taufiq,Negara,1987,Permanen,,,,,,16,16,
Jakarta Utara,Cilincing,Kali Baru,Musholla At-Taidin,Jl. Kali Baru Rt. 003/03,H. Nur,Negara,1991,Permanen,,,,,,18,18,
Jakarta Utara,Cilincing,Kali Baru,Musholla An Nisa,Jl. Kali Baru Rt. 008/10,HA. Riqob,Negara,1990,Permanen,,,,,,24,24,
Jakarta Utara,Cilincing,Kali Baru,Musholla Al-Furqon,Jl. Kali Baru Rt. 010/03,Abd. Hamid,Negara,1987,Permanen,,,,,,24,24,
Jakarta Utara,Cilincing,Kali Baru,Musholla Baitur Rohman,Jl. Kali Baru Rt. 011/07,H. Nawin,Negara,1990,Permanen,,,,,,30,30,
Jakarta Utara,Cilincing,Kali Baru,Musholla Baitur Rohmah,Jl. Kali Baru Rt. 001/07,Drs. Sidik Masri,Negara,1998,Permanen,,,,,,32,32,
Jakarta Utara,Cilincing,Kali Baru,Musholla Nurul Yaqin,Jl. Kali Baru Rt. 010/12,Ramli,Negara,1984,Permanen,,,,,,36,36,
Jakarta Utara,Cilincing,Kali Baru,Musholla Miftahul Hasanah,Jl. Kali Baru Rt. 009/15,AR. Shidiq,Negara,1975,Permanen,,,,,,36,36,
Jakarta Utara,Cilincing,Kali Baru,Musholla Sirajul Mukminin,Jl. Kali Baru Rt. 001/02,H.Samsudin,Negara,1988,Permanen,,,,,,40,40,
Jakarta Utara,Cilincing,Kali Baru,Musholla Al-Jihad,Jl. Kali Baru Rt. 008/08,Amiruddin,Negara,1980,Permanen,,,,,,40,40,
Jakarta Utara,Cilincing,Kali Baru,Musholla Miftahul Jannah,Jl. Kali Baru Rt. 004/08,Hasyim Ashari,Negara,1980,Permanen,,,,,,40,40,
Jakarta Utara,Cilincing,Kali Baru,Musholla Al-Hidayah,Jl. Kali Baru Rt. 007/14,Sukaras,Negara,1968,Permanen,,,,,,40,40,
Jakarta Utara,Cilincing,Kali Baru,Musholla Al-Kurnia Allah,Jl. Kali Baru Rt. 003/07,H. Sadrawi,Negara,1930,Permanen,,,,,,42,42,
Jakarta Utara,Cilincing,Kali Baru,Musholla Al-Jamsiyah,Jl. Kali Baru Rt. 014/12,Asmari,Negara,1993,Permanen,,,,,,45,45,
Jakarta Utara,Cilincing,Kali Baru,Musholla Al-Hijriyah,Jl. Kali Baru Rt. 011/02,Hasan,Negara,1974,Permanen,,,,,,45,54,
Jakarta Utara,Cilincing,Kali Baru,Musholla Baitul Mukminun,Jl. Kali Baru Rt. 010/07,Maizar,Negara,1994,Permanen,,,,,,48,48,
Jakarta Utara,Cilincing,Kali Baru,Musholla Cut Nyak Dien,Jl. Kali Baru Rt. 001/07,Hasan AR,Negara,1991,Permanen,,,,,,48,48,
Jakarta Utara,Cilincing,Kali Baru,Musholla Hidayatul Akhirat,Jl. Kali Baru Rt. 006/07,M. Muksin,Negara,1970,Permanen,,,,,,48,48,
Jakarta Utara,Cilincing,Kali Baru,Musholla Al-Huda,Jl. Kali Baru Rt. 013/04,Jafar,Negara,1965,Permanen,,,,,,50,50,
Jakarta Utara,Cilincing,Kali Baru,Musholla An Nida,Rt. 013/04,Jafar,,,,,,,,,50,50,
Jakarta Utara,Cilincing,Kali Baru,Musholla Al-Husna,Jl. Kali Baru Rt. 015/01,Drs. Mahyudin,Negara,1994,Permanen,,,,,,56,56,
Jakarta Utara,Cilincing,Kali Baru,Musholla Nurul Hikmah,Jl. Kali Baru Rt. 001/14,Nasdi,Negara,1980,Permanen,,,,,,56,56,
Jakarta Utara,Cilincing,Kali Baru,Musholla Nurul Jannah,Jl. Kali Baru Rt. 003/01,H. Ajat Sudrajat,Negara,1999,Permanen,,,,,,60,60,
Jakarta Utara,Cilincing,Kali Baru,Musholla Al-Ikhlas,Jl. Kali Baru Rt. 007/10,Sukartma,Negara,1988,Permanen,,,,,,60,60,
Jakarta Utara,Cilincing,Kali Baru,Musholla Al-Azis,Jl. Kali Baru Rt. 012/15,M. Abas,Negara,1983,Permanen,,,,,,60,60,
Jakarta Utara,Cilincing,Kali Baru,Musholla Sahilatul Islamiyah,Jl. Kali Baru Rt. 001/04,Solihin,Negara,1978,Permanen,,,,,,60,60,
Jakarta Utara,Cilincing,Kali Baru,Musholla Al-Amin,Jl. Kali Baru Rt. 003/03,Surodi Mulyo,Negara,1978,Permanen,,,,,,60,66,
Jakarta Utara,Cilincing,Kali Baru,Musholla Nurul Huda,Jl. Kali Baru Rt. 003/01,Suparman,Negara,1975,Permanen,,,,,,60,65,
Jakarta Utara,Cilincing,Kali Baru,Musholla Nurus Salam,Jl. Kali Baru Rt. 001/10,H. Toron,Negara,1972,Permanen,,,,,,60,60,
Jakarta Utara,Cilincing,Kali Baru,Musholla Al-Mustaqim,Jl. Kali Baru Rt. 008/02,Mas'ud,Negara,1976,Permanen,,,,,,64,158,
Jakarta Utara,Cilincing,Kali Baru,Musholla Nurul Iman,Jl. Kali Baru Rt. 012/03,Abd. Kadir,Negara,1981,Permanen,,,,,,67,115,
Jakarta Utara,Cilincing,Kali Baru,Musholla At-Taubah,Jl. Kali Baru Rt. 04/13,Nawawi,Negara,1972,Permanen,,,,,,68,110,
Jakarta Utara,Cilincing,Kali Baru,Musholla Al-Baqiatus Solihin,Jl. Kali Baru Rt. 009/12,Cecep Syaefullah,Negara,1987,Permanen,,,,,,72,72,
Jakarta Utara,Cilincing,Kali Baru,Musholla Al Bakiyatussolihat,Rt. 009/ 12,Cecep Syaefullah,,,,,,,,,72,72,
Jakarta Utara,Cilincing,Kali Baru,Musholla Babus Salam,Jl. Kali Baru Rt. 008/05,H. Tajudin,Negara,1993,Permanen,,,,,,75,75,
Jakarta Utara,Cilincing,Kali Baru,Musholla At-Taubah,Jl. Kali Baru Rt. 012/04,H. Ahmad Efendi,Negara,1980,Permanen,,,,,,78,78,
Jakarta Utara,Cilincing,Kali Baru,Musholla Pusaka Shidiq,Jl. Kali Baru Rt. 014/01,Isa Ansori,Negara,1970,Permanen,,,,,,78,125,
Jakarta Utara,Cilincing,Kali Baru,Musholla Baitur Rohim,Jl. Kali Baru Rt. 003/09,HA. Yani,Negara,1968,Permanen,,,,,,78,163,
Jakarta Utara,Cilincing,Kali Baru,Musholla Nurul Huda,Jl. Kali Baru Rt. 009/06,Wirjaya,Negara,1999,Permanen,,,,,,80,80,
Jakarta Utara,Cilincing,Kali Baru,Musholla Nurul Hikmah,Jl. Kali Baru Rt. 009/03,M.Rusli,Negara,1992,Permanen,,,,,,80,90,
Jakarta Utara,Cilincing,Kali Baru,Musholla Al-Jihad,Jl. Kali Baru Rt. 004/14,Zaenudin,Negara,1967,Permanen,,,,,,80,80,
Jakarta Utara,Cilincing,Kali Baru,Musholla Hidayatul Mubtadin,Jl. Kali Baru Rt. 003/10,H. Dede ,Negara,1968,Permanen,,,,,,84,84,
Jakarta Utara,Cilincing,Kali Baru,Musholla Babur Ridho,Jl. Kali Baru Rt. 015/07,Sultan Wahyudi,Negara,1986,Permanen,,,,,,86,100,
Jakarta Utara,Cilincing,Kali Baru,Musholla Al-Madinah,Jl. Kali Baru Rt. 008/13,H. Dahlan,Negara,1969,Permanen,,,,,,90,90,
Jakarta Utara,Cilincing,Kali Baru,Masjid Al-Mujahidin,Jl. Kali Baru Rt. 002/12,Harun A.R,Negara,1982,Permanen,,,,,,98,98,
Jakarta Utara,Cilincing,Kali Baru,Musholla Darul Hikmah,Jl. Kali Baru Rt. 004/05,Nahrowi,Negara,1987,Permanen,,,,,,99,154,
Jakarta Utara,Cilincing,Kali Baru,Musholla Al-Amin,Jl. Kali Baru Rt. 010/01,Ratmaja,Negara,1973,Permanen,,,,,,104,104,
Jakarta Utara,Cilincing,Kali Baru,Masjid Nurul Hikmah,Jl. Kali Baru Rt. 011/13,Drs. Ahmad Takroni,Negara,1984,Permanen,,,,,,108,306,
Jakarta Utara,Cilincing,Kali Baru,Musholla Al-Muflihun,Jl. Kali Baru Rt. 003/13,Sam'un Basyar,Negara,1970,Permanen,,,,,,111,111,
Jakarta Utara,Cilincing,Kali Baru,Musholla Hidayatul Mubtadi,Jl. Kali Baru Rt. 013/02,Maskur. HS,Negara,1985,Permanen,,,,,,112,140,
Jakarta Utara,Cilincing,Kali Baru,Musholla Al-Mutaaliim,Jl. Kali Baru Rt. 005/08,Muhammad. DS,Negara,1960,Permanen,,,,,,118,118,
Jakarta Utara,Cilincing,Kali Baru,Musholla At-Taqwa,Jl. Kali Baru Rt. 003/07,H. Dede Supriyadi,Negara,1985,Permanen,,,,,,120,120,
Jakarta Utara,Cilincing,Kali Baru,Musholla As-Sobirin,Jl. Kali Baru Rt. 001/13,Syamsudin. M,Negara,1980,Permanen,,,,,,120,120,
Jakarta Utara,Cilincing,Kali Baru,Musholla Al-Amin,Jl. Kali Baru Rt. 001/12,H. M. Sanen,Negara,1978,Permanen,,,,,,120,200,
Jakarta Utara,Cilincing,Kali Baru,Musholla Nurul Fadilah,Jl. Kali Baru Rt. 003/12,H. Tawil,Negara,1978,Permanen,,,,,,139,150,
Jakarta Utara,Cilincing,Kali Baru,Musholla Haerul Amin,Jl. Kali Baru Rt. 006/09,H. M. Yunus,Negara,1979,Permanen,,,,,,144,144,
Jakarta Utara,Cilincing,Kali Baru,Masjid Baitus Syukur,Jl. Kali Baru Rt. 013/05,H. Asyari Jamal,Negara,1972,Permanen,,,,,,144,224,
Jakarta Utara,Cilincing,Kali Baru,Masjid Nurul Mubin,Jl. Kali Baru Rt. 007/08,Isman Slamet,Negara,1982,Permanen,,,,,,150,150,
Jakarta Utara,Cilincing,Kali Baru,Musholla Nurul Falah,Jl. Kali Baru Rt. 006/03,Sanusi,Negara,1956,Permanen,,,,,,160,162,
Jakarta Utara,Cilincing,Kali Baru,Musholla Al-Muhajirin,Jl. Kali Baru Rt. 009/02,Hambali,Negara,1977,Permanen,,,,,,168,195,
Jakarta Utara,Cilincing,Kali Baru,Musholla Baitul Mu'minin,Jl. Kali Baru Rt. 002/03,H. Fatoni Abdillah,Negara,1958,Permanen,,,,,,171,171,
Jakarta Utara,Cilincing,Kali Baru,Masjid Al-Hijrah,Jl. Kali Baru Rt. 005/14,Habib Syaudi Salim,Negara,1996,Permanen,,,,,,175,175,
Jakarta Utara,Cilincing,Kali Baru,Musholla Ridho Allah,Jl. Kali Baru Rt. 014/07,Martani Salim,Negara,1982,Permanen,,,,,,,180,
Jakarta Utara,Cilincing,Kali Baru,Gereja Damai,Rt.002,Margaretha,,,,,,,,,200,400,
Jakarta Utara,Cilincing,Kali Baru,Musholla Al-Bashoriah,Jl. Kali Baru Rt. 014/03,Bung Ade,Negara,1997,Permanen,,,,,,200,1000,
Jakarta Utara,Cilincing,Kali Baru,Masjid Al Amin,Rt. 010/01,Ratmaja,,,,,,,,,220,110,
Jakarta Utara,Cilincing,Kali Baru,Masjid Al-Kuba,Jl. Kali Baru Rt. 015/17,Kudri,Negara,1992,Permanen,,,,,,225,1000,
Jakarta Utara,Cilincing,Kali Baru,Masjid Al-Mubasyirin,Jl. Kali Baru Rt. 008/07,H. Masduri,Negara,1969,Permanen,,,,,,252,625,
Jakarta Utara,Cilincing,Kali Baru,Musholla Babus Salam,Jl. Kali Baru Rt. 007/07,Kosim,Negara,1891,Permanen,,,,,,280,280,
Jakarta Utara,Cilincing,Kali Baru,Musholla Hudan Lil Muttaqin,Jl. Kali Baru Rt. 002/15,M. Syahid,Negara,1974,Permanen,,,,,,350,525,
Jakarta Utara,Cilincing,Kali Baru,Masjid Al-Ikhlash,Jl. Kali Baru Rt. 002/05,Abd. Manan,Negara,1972,Permanen,,,,,,350,400,
Jakarta Utara,Cilincing,Kali Baru,Masjid Assalafiyah,Jl. Kali Baru Rt. 013/13,K. Suwandi,Negara,1982,Permanen,,,,,,360,1206,
Jakarta Utara,Cilincing,Kali Baru,Masjid Nuruddin,Jl. Kali Baru Rt. 013/02,H. Nurdin S,Negara,1991,Permanen,,,,,,400,400,
Jakarta Utara,Cilincing,Kali Baru,Masjid Al-Hikmah,Jl. Kali Baru Rt. 002/11,Sumanto Hadi,Negara,1977,Permanen,,,,,,400,483,
Jakarta Utara,Cilincing,Kali Baru,Masjid Al-Mu'tamar,Jl. Kali Baru Rt. 007/03,Abdul Kadir,Negara,1967,Permanen,,,,,,400,400,
Jakarta Utara,Cilincing,Kali Baru,Masjid Al-Hidayah,Jl. Kali Baru Rt. 008/04,H. M. Miftahudin,Negara,1961,Permanen,,,,,,400,500,
Jakarta Utara,Cilincing,Kali Baru,Masjid Darussalam Lama,Jl. Kali Baru Rt. 009/10,H. Lacong,Negara,1949,Permanen,,,,,,400,1810,
Jakarta Utara,Cilincing,Kali Baru,Masjid Khaerul Amin,Rt. 006/09,Fahrudin,,,,,,,,,450,450,
Jakarta Utara,Cilincing,Kali Baru,Masjid Bogasari,Rt. 003/11,H. Abu Bakar,,,,,,,,,500,500,
Jakarta Utara,Cilincing,Kali Baru,Masjid Nurul Jihad,Jl. Kali Baru Rt. 011/08,H. Dahlan,Negara,1983,Permanen,,,,,,525,680,
Jakarta Utara,Cilincing,Kali Baru,Masjid Miftahul Jannah,Jl. Kali Baru Rt. 010/15,Drs. Abdul Jabar,Negara,1978,Permanen,,,,,,561,1650,
Jakarta Utara,Cilincing,Kali Baru,Masjid Darussalam Al-Amin,Jl. Kali Baru Rt. 012/02,H. M. Syarika Ali,Negara,1967,Permanen,,,,,,600,1623,
Jakarta Utara,Cilincing,Kali Baru,Masjid Baitul Mu'minin,Jl. Kali Baru Rt. 003/06,H. Syaifudin,Negara,1962,Permanen,,,,,,600,600,
Jakarta Utara,Cilincing,Marunda,Musholla Al-Kamal,Jl. Marunda Rt. 004/04,A. Demi. K,Hak Milik,1990,Permanen,,,,,,35,64,
Jakarta Utara,Cilincing,Marunda,Musholla Al-Istiqomah,Jl. Sungai Tiram Rt. 001/06,Tb. Samsudin,Wakaf,2001,Permanen,,,,,,40,72,
Jakarta Utara,Cilincing,Marunda,Musholla Baitul Khoir,Jl. Gg. Abdul Rahman Rt. 008/04,Abd. Gofur,Wakaf,1979,Permanen,,,,,,40,50,
Jakarta Utara,Cilincing,Marunda,Musholla Nurru Ikhlas,Jl. Sungai Tiram Rt. 002/06,Ny. Minah,Wakaf,,Permanen,,,,,,40,65,
Jakarta Utara,Cilincing,Marunda,Musholla Nur Hidayah,Jl. Marunda Rt. 001/04,Jumed,Hak Milik,1988,Permanen,,,,,,42,56,
Jakarta Utara,Cilincing,Marunda,Musholla Al-Hikmah,Jl. Kp. Bambu Kuning Rt. 002/02,Idris Kurniawan,Wakaf,1996,Permanen,,,,,,45,120,
Jakarta Utara,Cilincing,Marunda,Musholla Al-Mustakim,Jl. Kp. Marunda Makmur Rt. 004/01,H. Salim,Wakaf,2000,Permanen,,,,,,50,60,
Jakarta Utara,Cilincing,Marunda,Masjid Nurul Janah,Kp. Sungai Tiram Rt. 003/06,H. Raharjo,Wakaf,1985,,,,,,,54,150,
Jakarta Utara,Cilincing,Marunda,Musholla Nurul Hikmah,Jl. Marunda Rt. 006/02,H. Sain,Hak Milik,1975,Permanen,,,,,,60,100,
Jakarta Utara,Cilincing,Marunda,Musholla Al-Mubarokah,Jl. Marunda Rt. 006/06,Muslim Arifin,Wakaf,2001,Permanen,,,,,,60,127,
Jakarta Utara,Cilincing,Marunda,Musholla Nurul Iman,Jl. Sungai Bangao Rt. 007/04,Hasbulloh,Wakaf,1998,Permanen,,,,,,63,100,
Jakarta Utara,Cilincing,Marunda,Masjid Baitus Sajidin,Kp. Bambu Kuning RT.001/02,H. Arwah,Negara,1999,,,,,,,72,120,
Jakarta Utara,Cilincing,Marunda,Musholla Al-Ikhlas,Kp. Sungai Tiram Rt. 010/02,Dahlan,Wakaf,1985,Permanen,,,,,,72,120,
Jakarta Utara,Cilincing,Marunda,Musholla Al-Abror,Jl. Marunda Rt. 003/06,Iwan Nurlela,Hak Milik,1994,Permanen,,,,,,75,100,
Jakarta Utara,Cilincing,Marunda,Musholla Al Istiqomah,Jl. Sarang Bangao Rt. 002/05,Edi,Wakaf,1997,Permanen,,,,,,75,100,
Jakarta Utara,Cilincing,Marunda,Masjid Al-Alam,Tanah Cagar Budaya,H. Atit Fauzi,Negara,1945,,,,,,,120,195,
Jakarta Utara,Cilincing,Marunda,Masjid Al-Alim,Kp. Sungai Tiram Rt. 007/02,Suparman,Wakaf,1999,,,,,,,150,200,
Jakarta Utara,Cilincing,Marunda,Musholla Baitus Sajidin,Jl. Marunda Rt. 001/02,Naman,Hak Milik,1980,Permanen,,,,,,150,500,
Jakarta Utara,Cilincing,Marunda,Masjid Al-Murtamiyah,Kp.Bidara Rt.002/01,H. Topik,Wakaf,1980,,,,,,,200,300,
Jakarta Utara,Cilincing,Marunda,Masjid Baitur Rahman,Jl. Sarang Bangao,H. Siwang,Wakaf,1985,,,,,,,300,400,
Jakarta Utara,Cilincing,Marunda,Gereja STIP,Jl. Marunda Pulo Rt. 008,STIP,,2001,,Masyarakat,,,,300,300,,
Jakarta Utara,Cilincing,Marunda,Masjid Al-Muhajirin,Jl. Marunda Baru Rt. 008/03,Ustd. Ismail,Tanah Pasum,1987,,,,,,,900,1500,
Jakarta Utara,Cilincing,Marunda,Masjid Al Bahar,Milik STIP,Nurdin,Milik STIP,2003,,,,,,,,,
Jakarta Utara,Cilincing,Marunda,Masjid Al Ikhwan,Jl. Sungai Tiram Rt. 008/05,H.Mustakim,Wakaf,2007,,,,,,,,,
Jakarta Utara,Cilincing,Marunda,Musholla Miftahus Syahada,Kp. Sungai Tiram Rt. 013/02,Boih,Wakaf,2006,,,,,,,,,
Jakarta Utara,Cilincing,Marunda,Musholla Al Hidayah,Kp. Sungai Tiram Rt. 007/02,Yudi Setiawan,Wakaf,2006,,,,,,,,,
Jakarta Utara,Cilincing,Marunda,Musholla Al Iman,Kp. Sungai Tiram Rt. 004/02,Jalal Yusuf,Wakaf,2005,,,,,,,,,
Jakarta Utara,Cilincing,Marunda,Musholla Al Nur El Kasaf,H. Dempet Rt.005/01,Moch Rozi,Wakaf,2005,,,,,,,,,
